datetime,temperature
1975/10/1,-9
1975/11/1,-16
1975/12/1,-17
1976/1/1,-1
1976/2/1,-6
1976/3/1,-21
1976/4/1,-8
1976/5/1,-24
1976/6/1,-16
1976/7/1,-10
1976/8/1,-14
1976/9/1,-9
1976/10/1,-26
1976/11/1,-4
1976/12/1,10
1977/1/1,19
1977/2/1,22
1977/3/1,25
1977/4/1,28
1977/5/1,30
1977/6/1,24
1977/7/1,20
1977/8/1,16
1977/9/1,0
1977/10/1,2
1977/11/1,17
1977/12/1,2
1978/1/1,6
1978/2/1,14
1978/3/1,21
1978/4/1,15
1978/5/1,6
1978/6/1,-2
1978/7/1,3
1978/8/1,-17
1978/9/1,5
1978/10/1,0
1978/11/1,16
1978/12/1,10
1979/1/1,12
1979/2/1,-11
1979/3/1,18
1979/4/1,13
1979/5/1,5
1979/6/1,13
1979/7/1,2
1979/8/1,14
1979/9/1,25
1979/10/1,24
1979/11/1,28
1979/12/1,47
1980/1/1,30
1980/2/1,42
1980/3/1,30
1980/4/1,33
1980/5/1,36
1980/6/1,17
1980/7/1,28
1980/8/1,23
1980/9/1,19
1980/10/1,18
1980/11/1,29
1980/12/1,20
1981/1/1,55
1981/2/1,41
1981/3/1,49
1981/4/1,32
1981/5/1,24
1981/6/1,32
1981/7/1,34
1981/8/1,32
1981/9/1,17
1981/10/1,14
1981/11/1,24
1981/12/1,43
1982/1/1,10
1982/2/1,15
1982/3/1,-1
1982/4/1,10
1982/5/1,15
1982/6/1,5
1982/7/1,13
1982/8/1,7
1982/9/1,14
1982/10/1,13
1982/11/1,15
1982/12/1,43
1983/1/1,52
1983/2/1,41
1983/3/1,43
1983/4/1,31
1983/5/1,36
1983/6/1,20
1983/7/1,18
1983/8/1,33
1983/9/1,39
1983/10/1,16
1983/11/1,32
1983/12/1,17
1984/1/1,30
1984/2/1,17
1984/3/1,29
1984/4/1,8
1984/5/1,33
1984/6/1,5
1984/7/1,17
1984/8/1,16
1984/9/1,21
1984/10/1,16
1984/11/1,6
1984/12/1,-5
1985/1/1,22
1985/2/1,-6
1985/3/1,17
1985/4/1,11
1985/5/1,17
1985/6/1,18
1985/7/1,-1
1985/8/1,15
1985/9/1,15
1985/10/1,11
1985/11/1,8
1985/12/1,15
1986/1/1,28
1986/2/1,39
1986/3/1,27
1986/4/1,24
1986/5/1,24
1986/6/1,11
1986/7/1,11
1986/8/1,12
1986/9/1,0
1986/10/1,13
1986/11/1,11
1986/12/1,16
1987/1/1,36
1987/2/1,46
1987/3/1,16
1987/4/1,22
1987/5/1,25
1987/6/1,37
1987/7/1,45
1987/8/1,28
1987/9/1,39
1987/10/1,32
1987/11/1,25
1987/12/1,48
1988/1/1,58
1988/2/1,43
1988/3/1,51
1988/4/1,45
1988/5/1,43
1988/6/1,43
1988/7/1,34
1988/8/1,47
1988/9/1,41
1988/10/1,39
1988/11/1,12
1988/12/1,33
1989/1/1,15
1989/2/1,35
1989/3/1,36
1989/4/1,33
1989/5/1,16
1989/6/1,14
1989/7/1,34
1989/8/1,37
1989/9/1,37
1989/10/1,32
1989/11/1,20
1989/12/1,38
1990/1/1,41
1990/2/1,41
1990/3/1,77
1990/4/1,55
1990/5/1,46
1990/6/1,38
1990/7/1,43
1990/8/1,31
1990/9/1,29
1990/10/1,41
1990/11/1,46
1990/12/1,41
1991/1/1,41
1991/2/1,49
1991/3/1,35
1991/4/1,52
1991/5/1,38
1991/6/1,53
1991/7/1,48
1991/8/1,40
1991/9/1,48
1991/10/1,30
1991/11/1,31
1991/12/1,32
1992/1/1,44
1992/2/1,42
1992/3/1,48
1992/4/1,24
1992/5/1,32
1992/6/1,25
1992/7/1,12
1992/8/1,7
1992/9/1,0
1992/10/1,9
1992/11/1,3
1992/12/1,22
1993/1/1,37
1993/2/1,39
1993/3/1,36
1993/4/1,27
1993/5/1,27
1993/6/1,25
1993/7/1,28
1993/8/1,13
1993/9/1,10
